Passport,CityTier,MonthlyIncome,Age,PreferredPropertyStar,NumberOfFollowups,NumberOfPersonVisiting,NumberOfChildrenVisiting,Chance,Designation_Executive,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Unmarried,Occupation_Free Lancer,Occupation_Large Business,Occupation_Salaried,Occupation_Small Business,ProductPitched_Basic
0,2,17177.0,45.0,4.0,3.0,2,0.0,0,1,0,0,1,0,0,0,0,1,1
1,1,17042.0,26.0,5.0,3.0,2,0.0,1,1,1,0,0,0,0,0,1,0,1
1,3,17220.0,34.0,3.0,3.0,2,1.0,0,1,1,0,0,0,0,0,1,0,1
0,3,16052.0,28.0,4.0,3.0,3,1.0,0,1,1,0,0,0,0,0,0,1,1
0,1,17821.0,38.0,3.0,3.0,2,1.0,0,1,1,0,0,0,0,0,1,0,1
0,1,17007.0,26.0,3.0,4.0,3,0.0,0,1,0,1,0,0,0,0,0,1,1
0,1,17942.0,56.0,3.0,3.0,3,0.0,0,1,1,0,0,0,0,0,0,1,1
1,3,17323.0,20.0,3.0,3.0,2,0.0,0,1,0,0,1,0,0,0,0,1,1
0,1,16416.0,21.0,5.0,4.0,2,0.0,1,1,0,0,1,0,0,0,1,0,1
1,1,17461.0,51.0,3.0,3.0,2,1.0,0,1,1,0,0,0,0,0,1,0,1
0,1,18376.0,38.0,3.0,1.0,2,1.0,0,1,1,0,0,0,0,1,0,0,1
0,1,19621.0,27.0,3.0,5.0,2,1.0,0,1,1,0,0,0,0,0,1,0,1
0,1,17207.0,28.0,3.0,3.0,2,1.0,0,1,0,1,0,0,0,0,1,0,1
1,1,18691.0,38.0,3.0,3.0,2,0.0,0,1,1,0,0,0,0,1,0,0,1
0,1,17377.0,26.0,3.0,3.0,2,1.0,0,1,0,1,0,0,0,0,0,1,1
1,1,17313.0,33.0,4.0,4.0,2,0.0,0,1,0,0,1,0,0,0,0,1,1
0,1,17596.0,28.0,4.0,4.0,2,0.0,0,1,0,1,0,0,0,0,0,1,1
0,1,17979.0,34.0,3.0,4.0,2,0.0,0,1,1,0,0,0,0,0,1,0,1
0,1,17514.0,29.0,3.0,3.0,3,1.0,0,1,0,1,0,0,0,0,1,0,1
1,1,17070.0,21.0,4.0,4.0,3,2.0,0,1,0,0,1,0,0,1,0,0,1
0,3,17791.0,31.0,3.0,1.0,3,1.0,0,1,1,0,0,0,0,0,1,0,1
0,1,18201.0,28.0,4.0,4.0,3,2.0,0,1,1,0,0,0,0,0,1,0,1
0,1,18291.0,29.0,4.0,3.0,3,0.0,0,1,0,1,0,0,0,0,1,0,1
0,2,17844.0,38.0,3.0,1.0,2,0.0,0,1,1,0,0,0,0,0,1,0,1
1,1,17703.0,28.0,3.0,4.0,2,0.0,0,1,0,1,0,0,0,0,1,0,1
0,1,16904.0,18.0,3.0,3.0,3,0.0,0,1,0,0,1,0,0,0,0,1,1
1,1,19766.0,41.0,3.0,3.0,2,0.0,0,1,1,0,0,0,0,0,1,0,1
0,1,17610.0,31.0,3.0,3.0,3,2.0,0,1,1,0,0,0,0,0,0,1,1
0,1,17539.0,27.0,3.0,4.0,2,1.0,0,1,1,0,0,0,0,0,1,0,1
0,2,23620.0,35.0,3.0,3.0,3,1.0,0,1,0,0,1,0,0,1,0,0,1
0,1,17258.0,35.0,3.0,4.0,2,1.0,0,1,1,0,0,0,0,0,0,1,1
0,1,18597.0,38.0,4.0,3.0,2,0.0,0,1,0,0,1,0,0,0,0,1,1
1,1,17515.0,28.0,3.0,3.0,3,0.0,0,1,1,0,0,0,0,0,1,0,1
0,1,23620.0,26.0,3.0,1.0,2,1.0,0,1,1,0,0,0,0,0,0,1,1
0,1,17376.0,35.0,3.0,4.0,2,0.0,0,1,1,0,0,0,0,0,1,0,1
0,3,17827.0,32.0,5.0,3.0,3,1.0,0,1,0,1,0,0,0,0,1,0,1
0,1,18131.0,29.0,3.0,3.0,2,0.0,0,1,1,0,0,0,0,0,0,1,1
0,1,17552.0,19.0,5.0,3.0,2,0.0,1,1,0,0,1,0,0,0,1,0,1
1,1,23620.0,45.0,3.0,3.0,2,0.0,0,1,1,0,0,0,0,0,0,1,1
0,1,18033.0,20.0,3.0,4.0,2,1.0,0,1,0,0,1,0,0,0,1,0,1
1,1,17936.0,44.0,3.0,3.0,3,2.0,0,1,0,0,1,0,0,0,1,0,1
1,1,17168.0,29.0,3.0,5.0,3,0.0,0,1,1,0,0,0,0,0,1,0,1
1,1,17853.0,22.0,3.0,4.0,2,0.0,0,1,1,0,0,0,0,0,1,0,1
0,1,17290.0,44.0,3.0,5.0,3,0.0,0,1,0,0,1,0,0,0,1,0,1
0,2,18600.0,38.0,3.0,3.0,2,0.0,0,1,1,0,0,0,0,0,1,0,1
0,1,17107.0,41.0,5.0,4.0,3,0.0,0,1,0,1,0,0,0,0,1,0,1
0,1,18196.0,28.0,5.0,4.0,3,2.0,1,1,1,0,0,0,0,0,0,1,1
0,1,17210.0,24.0,4.0,3.0,3,1.0,0,1,1,0,0,0,0,0,1,0,1
0,1,17741.0,36.0,3.0,5.0,2,0.0,0,1,0,1,0,0,0,0,1,0,1
0,3,17678.0,20.0,3.0,1.0,2,0.0,0,1,0,0,1,0,0,0,0,1,1
0,1,17743.0,32.0,4.0,4.0,3,0.0,0,1,1,0,0,0,0,0,1,0,1
0,1,17781.0,33.0,3.0,3.0,2,0.0,0,1,1,0,0,0,0,0,0,1,1
1,1,18579.0,38.0,4.0,3.0,3,2.0,0,1,1,0,0,0,0,0,0,1,1
1,1,17235.0,27.0,5.0,3.0,2,0.0,1,1,1,0,0,0,0,0,1,0,1
0,1,17011.0,44.0,3.0,1.0,3,0.0,0,1,1,0,0,0,0,0,1,0,1
1,1,16859.0,19.0,4.0,4.0,3,1.0,0,1,0,0,1,0,0,0,0,1,1
0,1,23620.0,38.0,3.0,3.0,3,2.0,0,1,0,1,0,0,0,0,1,0,1
0,1,18692.0,38.0,4.0,3.0,2,1.0,0,1,1,0,0,0,0,1,0,0,1
0,1,17559.0,48.0,4.0,1.0,3,2.0,0,1,0,0,1,0,0,1,0,0,1
0,1,17517.0,27.0,3.0,3.0,3,1.0,0,1,0,1,0,0,0,0,1,0,1
0,1,17585.0,34.0,3.0,1.0,2,0.0,0,1,1,0,0,0,0,1,0,0,1
1,1,17994.0,19.0,3.0,1.0,2,0.0,0,1,0,0,1,0,0,0,1,0,1
0,1,16223.0,23.0,3.0,3.0,2,1.0,0,1,1,0,0,0,0,0,1,0,1
1,3,16118.0,25.0,3.0,5.0,3,1.0,0,1,0,0,1,0,0,0,1,0,1
1,1,17875.0,26.0,3.0,3.0,2,0.0,0,1,0,0,1,0,0,0,1,0,1
0,1,17625.0,21.0,3.0,4.0,2,0.0,0,1,0,0,1,0,0,0,1,0,1
1,1,17154.0,28.0,3.0,3.0,2,0.0,0,1,0,0,1,0,0,0,0,1,1
1,1,18506.0,38.0,3.0,3.0,3,1.0,0,1,1,0,0,0,0,0,1,0,1
1,1,23620.0,38.0,3.0,4.0,2,0.0,0,1,1,0,0,0,0,0,1,0,1
0,1,17838.0,51.0,3.0,4.0,2,1.0,0,1,0,0,1,0,0,0,0,1,1
1,1,18339.0,29.0,3.0,3.0,2,1.0,0,1,0,1,0,0,0,1,0,0,1
0,1,17080.0,28.0,5.0,3.0,2,0.0,1,1,0,0,1,0,0,1,0,0,1
0,1,17096.0,25.0,4.0,3.0,2,0.0,0,1,0,0,1,0,0,0,0,1,1
0,1,17372.0,58.0,3.0,3.0,2,1.0,0,1,0,1,0,0,0,0,1,0,1
0,1,23620.0,38.0,5.0,3.0,3,2.0,0,1,0,0,1,0,0,0,0,1,1
0,2,18423.0,38.0,5.0,3.0,2,0.0,0,1,0,0,1,0,0,0,1,0,1
1,3,17302.0,31.0,4.0,3.0,2,1.0,0,1,0,0,1,0,0,0,1,0,1
0,1,17362.0,44.0,5.0,3.0,2,1.0,0,1,1,0,0,0,0,0,1,0,1
0,1,18544.0,38.0,3.0,3.0,3,2.0,0,1,0,1,0,0,0,0,1,0,1
0,1,18669.0,38.0,3.0,3.0,3,2.0,0,1,1,0,0,0,0,0,0,1,1
0,1,17387.0,40.0,4.0,3.0,2,1.0,0,1,1,0,0,0,0,0,1,0,1
0,3,17534.0,27.0,3.0,1.0,3,1.0,0,1,1,0,0,0,0,0,0,1,1
0,1,16611.0,18.0,3.0,3.0,3,1.0,0,1,0,0,1,0,0,0,1,0,1
0,1,17029.0,34.0,3.0,4.0,3,0.0,0,1,0,1,0,0,0,1,0,0,1
0,3,17785.0,31.0,3.0,4.0,2,1.0,0,1,0,0,1,0,0,0,1,0,1
0,1,17610.0,38.0,3.0,1.0,2,0.0,0,1,0,1,0,0,0,0,1,0,1
1,1,17996.0,37.0,3.0,3.0,2,1.0,0,1,1,0,0,0,0,0,1,0,1
1,1,17394.0,27.0,3.0,3.0,2,0.0,0,1,0,0,1,0,0,0,1,0,1
0,1,23620.0,38.0,3.0,4.0,2,0.0,0,1,0,0,1,0,0,0,0,1,1
0,1,17950.0,52.0,5.0,3.0,2,1.0,0,1,1,0,0,0,0,0,1,0,1
0,1,18629.0,38.0,3.0,3.0,3,1.0,0,1,0,0,1,0,0,0,0,1,1
0,1,18229.0,25.0,3.0,3.0,2,1.0,0,1,1,0,0,0,0,1,0,0,1
0,1,18578.0,38.0,5.0,1.0,3,0.0,0,1,0,0,1,0,0,0,1,0,1
0,3,16359.0,31.0,3.0,5.0,2,1.0,0,1,0,0,1,0,0,0,1,0,1
0,1,17996.0,34.0,5.0,3.0,3,2.0,0,1,0,1,0,0,0,0,1,0,1
0,1,16261.0,31.0,4.0,4.0,2,1.0,0,1,0,0,1,0,0,0,1,0,1
0,1,17099.0,27.0,5.0,3.0,3,2.0,1,1,1,0,0,0,0,0,1,0,1
0,1,18420.0,38.0,3.0,3.0,3,0.0,0,1,1,0,0,0,0,1,0,0,1
0,3,23620.0,25.0,5.0,4.0,3,0.0,1,1,1,0,0,0,0,0,1,0,1
0,1,18500.0,38.0,3.0,1.0,2,0.0,0,1,0,0,1,0,0,1,0,0,1
0,1,17066.0,56.0,5.0,3.0,2,1.0,0,1,1,0,0,0,0,0,1,0,1
0,1,18294.0,34.0,4.0,4.0,2,1.0,0,1,1,0,0,0,0,0,1,0,1
1,1,17127.0,41.0,3.0,1.0,2,1.0,0,1,1,0,0,0,0,0,0,1,1
1,1,18646.0,38.0,5.0,4.0,2,0.0,0,1,0,0,1,0,0,0,1,0,1
0,2,17109.0,31.0,4.0,1.0,3,2.0,0,1,0,0,1,0,0,0,0,1,1
1,1,23620.0,38.0,3.0,3.0,3,1.0,0,1,1,0,0,0,0,0,1,0,1
0,2,17742.0,34.0,3.0,3.0,2,0.0,0,1,1,0,0,0,0,1,0,0,1
0,1,18162.0,44.0,3.0,4.0,2,1.0,0,1,0,0,1,0,0,0,1,0,1
0,1,17345.0,40.0,3.0,3.0,3,0.0,0,1,0,1,0,0,0,0,0,1,1
0,1,18420.0,38.0,4.0,3.0,2,1.0,0,1,0,0,1,0,0,0,1,0,1
0,1,18673.0,38.0,3.0,3.0,3,1.0,0,1,0,0,1,0,0,0,0,1,1
0,1,16274.0,30.0,3.0,3.0,3,0.0,0,1,0,1,0,0,0,1,0,0,1
0,3,17909.0,28.0,3.0,3.0,3,0.0,0,1,1,0,0,0,0,1,0,0,1
0,3,17404.0,35.0,3.0,3.0,3,0.0,0,1,1,0,0,0,0,0,1,0,1
1,1,18172.0,24.0,5.0,3.0,2,1.0,1,1,0,0,1,0,0,0,0,1,1
0,3,17033.0,24.0,4.0,3.0,3,0.0,0,1,1,0,0,0,0,0,1,0,1
0,2,17064.0,30.0,3.0,3.0,2,1.0,0,1,0,1,0,0,0,0,1,0,1
0,1,23620.0,38.0,4.0,4.0,2,0.0,0,1,1,0,0,0,0,0,0,1,1
0,1,17561.0,28.0,5.0,4.0,2,0.0,1,1,0,0,1,0,0,0,0,1,1
0,1,16563.0,28.0,3.0,4.0,3,1.0,0,1,0,1,0,0,0,0,1,0,1
0,1,18180.0,29.0,4.0,3.0,3,2.0,0,1,1,0,0,0,0,0,1,0,1
0,1,17362.0,29.0,5.0,4.0,3,2.0,1,1,0,0,1,0,0,1,0,0,1
0,1,17018.0,40.0,5.0,3.0,2,1.0,0,1,0,0,1,0,0,0,1,0,1
0,1,23620.0,38.0,3.0,3.0,2,1.0,0,1,0,0,1,0,0,0,1,0,1
1,3,17308.0,34.0,3.0,3.0,2,1.0,0,1,0,1,0,0,0,1,0,0,1
0,1,19841.0,42.0,4.0,4.0,3,2.0,0,1,0,1,0,0,0,0,0,1,1
0,1,17132.0,45.0,3.0,3.0,3,2.0,0,1,0,1,0,0,0,1,0,0,1
0,1,17296.0,24.0,5.0,4.0,2,0.0,1,1,0,1,0,0,0,1,0,0,1
0,3,17430.0,35.0,3.0,4.0,3,2.0,0,1,0,1,0,0,0,0,1,0,1
1,3,17644.0,36.0,3.0,3.0,3,0.0,0,1,0,0,1,0,0,0,1,0,1
0,1,17451.0,29.0,3.0,1.0,3,0.0,0,1,0,1,0,0,0,0,1,0,1
0,1,17450.0,35.0,5.0,4.0,3,2.0,0,1,0,0,1,0,0,0,0,1,1
1,1,17074.0,35.0,5.0,3.0,3,1.0,0,1,0,1,0,0,0,0,1,0,1
0,1,17367.0,48.0,5.0,3.0,3,0.0,0,1,0,1,0,0,0,0,1,0,1
0,1,17972.0,34.0,3.0,3.0,2,1.0,0,1,0,0,1,0,0,0,0,1,1
0,1,17061.0,26.0,3.0,3.0,2,1.0,0,1,0,1,0,0,0,0,1,0,1
1,1,19723.0,29.0,5.0,3.0,2,1.0,1,1,0,0,1,0,0,0,0,1,1
0,1,17073.0,23.0,3.0,1.0,2,0.0,0,1,0,1,0,0,0,1,0,0,1
0,1,19876.0,43.0,4.0,1.0,2,1.0,0,1,0,1,0,0,0,1,0,0,1
0,1,17690.0,35.0,3.0,4.0,3,0.0,0,1,0,1,0,0,0,0,1,0,1
1,1,17408.0,28.0,4.0,3.0,2,0.0,0,1,0,1,0,0,0,0,0,1,1
1,1,17814.0,22.0,3.0,4.0,2,0.0,0,1,0,1,0,0,0,0,1,0,1
0,1,18312.0,32.0,3.0,1.0,2,1.0,0,1,0,1,0,0,0,0,1,0,1
0,1,17141.0,30.0,4.0,4.0,2,0.0,0,1,0,1,0,0,0,0,0,1,1
0,1,18211.0,49.0,5.0,3.0,2,0.0,0,1,0,1,0,0,0,0,1,0,1
0,1,23620.0,38.0,5.0,4.0,3,0.0,0,1,0,1,0,0,0,0,1,0,1
0,1,18117.0,21.0,3.0,3.0,3,1.0,0,1,0,0,1,0,0,0,0,1,1
1,3,16569.0,18.0,3.0,3.0,3,1.0,0,1,0,0,1,0,0,0,0,1,1
0,1,23620.0,38.0,4.0,3.0,3,0.0,0,1,0,1,0,0,0,0,0,1,1
1,1,23620.0,38.0,3.0,3.0,2,1.0,0,1,0,0,1,0,0,1,0,0,1
0,1,18517.0,38.0,3.0,1.0,2,0.0,0,1,0,1,0,0,0,0,0,1,1
0,1,17580.0,27.0,3.0,3.0,2,1.0,0,1,0,0,1,0,0,0,0,1,1
1,1,17166.0,40.0,5.0,3.0,3,1.0,0,1,0,0,1,0,0,0,1,0,1
0,3,17783.0,20.0,3.0,3.0,2,0.0,0,1,0,0,1,0,0,0,0,1,1
0,1,17013.0,36.0,4.0,3.0,3,2.0,0,1,0,0,1,0,0,0,1,0,1
1,1,17587.0,49.0,5.0,3.0,3,1.0,0,1,0,1,0,0,0,0,0,1,1
0,1,17440.0,38.0,4.0,4.0,2,0.0,0,1,0,0,1,0,0,0,0,1,1
0,3,17728.0,20.0,5.0,3.0,2,1.0,1,1,0,0,1,0,0,0,1,0,1
1,2,18195.0,44.0,3.0,3.0,2,0.0,0,1,0,1,0,0,0,0,1,0,1
1,1,23620.0,38.0,3.0,4.0,3,2.0,0,1,0,0,1,0,0,0,0,1,1
0,1,18306.0,38.0,3.0,3.0,2,0.0,0,1,0,1,0,0,0,0,0,1,1
1,3,17655.0,48.0,3.0,3.0,3,1.0,0,1,0,1,0,0,0,0,0,1,1
0,1,16393.0,32.0,4.0,3.0,3,1.0,0,1,0,0,1,0,0,0,1,0,1
0,1,17570.0,26.0,3.0,3.0,3,2.0,0,1,0,0,1,0,0,0,0,1,1
0,1,18537.0,38.0,4.0,4.0,3,1.0,0,1,0,1,0,0,0,1,0,0,1
0,1,17028.0,33.0,4.0,1.0,3,1.0,0,1,0,1,0,0,0,0,0,1,1
0,1,17929.0,34.0,3.0,4.0,2,1.0,0,1,0,1,0,0,0,0,1,0,1
1,3,17275.0,23.0,3.0,3.0,2,0.0,0,1,0,1,0,0,0,0,1,0,1
1,1,19930.0,35.0,3.0,4.0,3,0.0,0,1,0,0,1,0,0,0,0,1,1
0,1,23620.0,24.0,3.0,1.0,3,0.0,0,1,0,1,0,0,0,0,0,1,1
0,1,17974.0,29.0,3.0,3.0,2,1.0,0,1,0,1,0,0,0,0,0,1,1
0,2,16555.0,24.0,3.0,5.0,2,1.0,0,1,0,1,0,0,0,0,1,0,1
0,1,17305.0,26.0,3.0,5.0,3,2.0,0,1,0,1,0,0,0,0,0,1,1
0,1,18433.0,38.0,3.0,3.0,2,0.0,0,1,0,1,0,0,0,0,1,0,1
0,1,18477.0,38.0,3.0,3.0,3,2.0,0,1,0,1,0,0,0,0,1,0,1
0,1,23620.0,38.0,5.0,3.0,3,1.0,0,1,0,1,0,0,0,0,0,1,1
0,1,17862.0,30.0,3.0,3.0,2,0.0,0,1,0,1,0,0,0,0,1,0,1
0,1,18295.0,23.0,4.0,3.0,2,1.0,0,1,0,0,1,0,0,0,0,1,1
0,1,19968.0,30.0,5.0,4.0,3,1.0,1,1,0,0,1,0,0,1,0,0,1
0,2,17145.0,24.0,3.0,3.0,2,1.0,0,1,0,1,0,0,0,0,0,1,1
0,2,17180.0,30.0,3.0,4.0,3,2.0,0,1,0,1,0,0,0,0,1,0,1
0,1,18445.0,38.0,3.0,3.0,3,2.0,0,1,0,0,1,0,0,0,0,1,1
0,3,17760.0,29.0,4.0,5.0,2,1.0,0,1,0,0,1,0,0,0,0,1,1
1,1,17932.0,34.0,3.0,1.0,3,1.0,0,1,0,1,0,0,0,0,0,1,1
0,1,17468.0,38.0,4.0,4.0,3,0.0,0,1,0,1,0,0,0,0,0,1,1
0,1,17109.0,29.0,5.0,4.0,3,0.0,1,1,0,1,0,0,0,1,0,0,1
0,1,17718.0,32.0,4.0,3.0,3,1.0,0,1,0,0,1,0,0,1,0,0,1
1,1,17437.0,43.0,3.0,4.0,2,1.0,0,1,0,1,0,0,0,1,0,0,1
0,1,17766.0,42.0,4.0,3.0,2,1.0,0,1,0,1,0,0,0,0,0,1,1
0,1,17289.0,41.0,5.0,3.0,3,1.0,0,1,0,1,0,0,0,0,1,0,1
0,2,18539.0,38.0,3.0,3.0,3,0.0,0,1,0,0,1,0,0,0,1,0,1
0,3,17679.0,21.0,4.0,3.0,2,1.0,0,1,0,0,1,0,0,0,0,1,1
0,1,18702.0,38.0,3.0,4.0,2,1.0,0,1,0,1,0,0,0,0,1,0,1
1,1,17398.0,22.0,5.0,3.0,3,1.0,1,1,0,1,0,0,0,0,0,1,1
1,1,17342.0,44.0,4.0,3.0,2,1.0,0,1,0,1,0,0,0,0,0,1,1
0,1,18143.0,33.0,5.0,1.0,2,1.0,0,1,0,1,0,0,0,0,1,0,1
0,1,17044.0,28.0,3.0,3.0,2,0.0,0,1,0,1,0,0,0,0,1,0,1
0,1,18377.0,38.0,5.0,3.0,2,1.0,0,1,0,1,0,0,0,0,1,0,1
0,2,17592.0,38.0,4.0,3.0,3,2.0,0,1,0,1,0,0,0,0,1,0,1
0,1,17438.0,43.0,3.0,3.0,2,1.0,0,1,0,0,1,0,0,0,1,0,1
1,2,17148.0,26.0,4.0,3.0,3,1.0,0,1,0,1,0,0,0,0,0,1,1
0,1,17705.0,35.0,3.0,5.0,3,0.0,0,1,0,1,0,0,0,0,0,1,1
0,1,18591.0,38.0,5.0,3.0,3,0.0,0,1,0,1,0,0,0,0,0,1,1
0,1,16514.0,18.0,3.0,3.0,2,0.0,0,1,0,0,1,0,0,0,0,1,1
0,2,17956.0,31.0,5.0,1.0,2,0.0,0,1,0,1,0,0,0,0,1,0,1
1,2,17335.0,29.0,5.0,4.0,2,1.0,1,1,0,1,0,0,0,0,1,0,1
1,1,17379.0,27.0,3.0,3.0,2,1.0,0,1,0,0,1,0,0,0,1,0,1
0,1,23620.0,38.0,3.0,3.0,2,1.0,0,1,0,1,0,0,0,0,0,1,1
0,1,17936.0,42.0,3.0,3.0,2,0.0,0,1,0,1,0,0,0,1,0,0,1
0,1,17105.0,47.0,3.0,3.0,3,0.0,0,1,0,0,1,0,0,0,1,0,1
0,2,17706.0,28.0,3.0,3.0,2,1.0,0,1,0,1,0,0,0,0,1,0,1
0,2,17804.0,29.0,4.0,4.0,2,1.0,0,1,0,1,0,0,0,0,0,1,1
1,1,17439.0,29.0,3.0,4.0,3,2.0,0,1,0,0,1,0,0,0,1,0,1
0,1,19774.0,27.0,5.0,4.0,3,0.0,1,1,0,1,0,0,0,0,1,0,1
0,1,17662.0,55.0,3.0,4.0,3,0.0,0,1,0,1,0,0,0,1,0,0,1
0,3,17856.0,28.0,4.0,3.0,3,0.0,0,1,0,1,0,0,0,0,0,1,1
0,3,16081.0,30.0,3.0,3.0,2,0.0,0,1,0,0,1,0,0,0,0,1,1
1,1,17472.0,22.0,4.0,3.0,3,0.0,0,1,0,0,1,0,0,0,1,0,1
0,1,17062.0,29.0,5.0,3.0,2,0.0,1,1,0,0,1,0,0,0,1,0,1
1,1,17933.0,26.0,3.0,4.0,2,0.0,0,1,0,1,0,0,0,0,1,0,1
1,1,17307.0,34.0,5.0,5.0,2,0.0,0,1,0,1,0,0,0,1,0,0,1
0,1,17587.0,56.0,3.0,3.0,3,0.0,0,1,0,0,1,0,0,0,1,0,1
0,1,23620.0,38.0,3.0,1.0,3,2.0,0,1,0,1,0,0,0,0,0,1,1
0,1,17544.0,26.0,3.0,1.0,3,1.0,0,1,0,1,0,0,0,0,1,0,1
0,3,16091.0,29.0,5.0,1.0,2,1.0,1,1,0,0,1,0,0,1,0,0,1
0,1,17226.0,27.0,4.0,3.0,2,1.0,0,1,0,1,0,0,0,1,0,0,1
1,1,17432.0,32.0,3.0,1.0,2,1.0,0,1,0,0,1,0,0,0,1,0,1
0,1,19771.0,38.0,3.0,3.0,3,1.0,0,1,0,1,0,0,0,0,1,0,1
0,2,17863.0,27.0,4.0,4.0,2,0.0,0,1,0,1,0,0,0,0,1,0,1
0,1,17144.0,28.0,3.0,3.0,2,0.0,0,1,0,0,1,0,0,0,0,1,1
1,1,18065.0,31.0,5.0,3.0,2,0.0,0,1,0,1,0,0,0,0,0,1,1
0,1,17810.0,36.0,4.0,1.0,3,0.0,0,1,0,1,0,0,0,0,1,0,1
0,1,17867.0,26.0,5.0,3.0,3,2.0,1,1,0,0,1,0,0,0,0,1,1
0,1,17367.0,28.0,3.0,4.0,2,1.0,0,1,0,1,0,0,0,1,0,0,1
0,3,17858.0,38.0,5.0,4.0,2,1.0,0,1,0,0,1,0,0,0,1,0,1
1,2,17991.0,38.0,4.0,3.0,2,1.0,0,1,0,1,0,0,0,0,1,0,1
1,1,16129.0,31.0,3.0,5.0,2,0.0,0,1,0,1,0,0,0,0,0,1,1
0,1,17647.0,23.0,3.0,3.0,3,0.0,0,1,0,0,1,0,0,0,1,0,1
0,2,17187.0,25.0,4.0,3.0,2,0.0,0,1,0,1,0,0,0,0,1,0,1
0,1,23620.0,38.0,4.0,3.0,3,1.0,0,1,0,1,0,0,0,0,0,1,1
1,1,23620.0,38.0,3.0,3.0,2,0.0,0,1,0,1,0,0,0,0,1,0,1
0,1,17008.0,33.0,3.0,4.0,2,0.0,0,1,0,1,0,0,0,0,0,1,1
0,3,18067.0,31.0,3.0,3.0,2,0.0,0,1,0,1,0,0,0,0,1,0,1
0,1,17782.0,41.0,3.0,3.0,3,0.0,0,1,0,1,0,0,0,0,1,0,1
1,1,17660.0,35.0,3.0,3.0,2,0.0,0,1,0,1,0,0,0,0,0,1,1
0,1,18375.0,38.0,3.0,3.0,3,2.0,0,1,0,0,1,0,0,0,1,0,1
0,1,17837.0,32.0,4.0,4.0,2,0.0,0,1,0,0,1,0,0,0,1,0,1
0,1,17406.0,40.0,3.0,3.0,2,0.0,0,1,0,1,0,0,0,0,1,0,1
0,3,17269.0,32.0,4.0,4.0,3,2.0,0,1,0,1,0,0,0,0,0,1,1
0,3,18482.0,38.0,3.0,3.0,2,1.0,0,1,0,1,0,0,0,0,1,0,1
1,1,17436.0,44.0,3.0,3.0,2,1.0,0,1,0,0,1,0,0,0,0,1,1
1,3,17380.0,21.0,5.0,3.0,2,0.0,1,1,0,0,1,0,0,0,0,1,1
0,3,16790.0,23.0,5.0,3.0,2,0.0,1,1,0,1,0,0,0,0,0,1,1
1,1,19787.0,29.0,3.0,3.0,2,0.0,0,1,0,1,0,0,0,0,0,1,1
0,1,17339.0,56.0,3.0,3.0,3,2.0,0,1,0,1,0,0,0,1,0,0,1
0,1,17439.0,32.0,5.0,3.0,3,1.0,0,1,0,0,1,0,0,1,0,0,1
0,1,17809.0,40.0,3.0,4.0,2,1.0,0,1,0,0,1,0,0,0,1,0,1
0,1,17001.0,40.0,3.0,3.0,3,1.0,0,1,0,1,0,0,0,0,0,1,1
0,1,17977.0,35.0,3.0,5.0,3,1.0,0,1,0,1,0,0,0,0,1,0,1
0,1,23620.0,38.0,5.0,4.0,3,1.0,0,1,0,0,1,0,0,0,0,1,1
0,3,17966.0,26.0,3.0,4.0,1,0.0,0,1,0,0,1,0,0,0,1,0,1
1,1,17090.0,37.0,3.0,4.0,3,2.0,0,1,0,0,1,0,0,0,1,0,1
1,1,17909.0,33.0,3.0,3.0,2,1.0,0,1,0,1,0,0,0,0,1,0,1
0,1,18468.0,38.0,4.0,3.0,2,1.0,0,1,0,1,0,0,0,0,0,1,1
1,1,17670.0,59.0,5.0,1.0,2,1.0,0,1,0,1,0,0,0,0,0,1,1
0,1,17693.0,30.0,3.0,3.0,3,2.0,0,1,0,1,0,0,0,0,1,0,1
0,1,17426.0,35.0,4.0,1.0,2,1.0,0,1,0,1,0,0,0,0,0,1,1
0,1,17661.0,34.0,3.0,3.0,3,0.0,0,1,0,1,0,0,0,0,0,1,1
1,1,18298.0,32.0,4.0,1.0,3,2.0,0,1,0,1,0,0,0,0,1,0,1
1,1,17935.0,22.0,3.0,1.0,3,2.0,0,1,0,1,0,0,0,0,0,1,1
1,1,23620.0,38.0,3.0,3.0,2,0.0,0,1,0,0,1,0,0,0,1,0,1
0,3,18407.0,38.0,5.0,4.0,2,0.0,0,1,0,0,1,0,0,0,1,0,1
0,1,17960.0,34.0,5.0,3.0,2,0.0,0,1,0,0,1,0,0,0,0,1,1
1,1,23620.0,38.0,5.0,5.0,3,0.0,0,1,0,0,1,0,0,0,1,0,1
1,1,17293.0,24.0,3.0,3.0,3,2.0,0,1,0,1,0,0,0,0,0,1,1
0,1,17645.0,43.0,3.0,1.0,3,2.0,0,1,0,1,0,0,0,0,0,1,1
1,3,17683.0,50.0,3.0,4.0,2,1.0,0,1,0,1,0,0,0,0,0,1,1
0,3,17014.0,35.0,3.0,3.0,3,2.0,0,1,0,1,0,0,0,0,0,1,1
1,1,18419.0,38.0,5.0,4.0,2,1.0,0,1,0,1,0,0,0,0,1,0,1
0,1,16951.0,35.0,3.0,3.0,3,1.0,0,1,0,1,0,0,0,0,1,0,1
0,1,17293.0,26.0,3.0,5.0,2,0.0,0,1,0,0,1,0,0,0,1,0,1
